content,label
用三位或三位以下的数字组成需要标明回路的相别或某些主要特征时可在数字标号的前面或后面增注文字符号,0
按等电位的原则标注即在电气回路中连于一点上的所有导线包括接触连接的可折线段须标以相同的回路标号,0
电气设备的触点线圈电阻电容等元件所间隔的线段即看为不同的线段一般给予不同的标号对于在接线图中不经过端子而在屏内直接连接的回路可不标号,0
简述直流回路的标号细则,1
对于不同用途的直流回路使用不同的数字范围如控制和保护回路用及励磁回路用,0
控制和保护回路使用的数字标号按熔断器所属的回路进行分组每一百个数分为一组如其中每段里面先按正极性回路编为奇数由小到大再编负极性回路偶数由大到小如,0
信号回路的数字标号按事故位置预告指挥信号进行分组按数字大小进行排列,0
开关设备控制回路的数字标号组应按开关设备的数字序号进行选取例如有个控制开关则对应的控制回路数字标号选所对应的选对应的选,0
正极回路的线段按奇数标号负极回路的线段按偶数标号每经过回路的主要压降元部件如线圈绕组电阻等后即行改变其极性其奇偶顺序即随之改变对不能标明极性或其极性在工作中改变的线段可任选奇数或偶数,0
对于某些特定的主要回路通常给予专用的标号组例如正电源为负电源为合闸回路中的绿灯回路为跳闸回路中的红灯回路编号为等,0
简述交流回路的标号细则,1
交流回路按相别顺序标号它除用位数字编号外还加有文字标号以示区别例如,0
电压回路的数字标号应以十位数字为一组如以供一个单独互感器回路标号之用,0
电流互感器和电压互感器的回路均须在分配给它们的数字标号范围内自互感器引出端开始按顺序编号例如的回路标号用的回路标号用等某些特定的交流回路如母线电流差动保护公共回路绝缘监察电压表的公共回路等给予专用的标号组,0
电流互感器的极性标志方法,1
电流互感器的极性接错将会造成保护的错误动作常用分别表示一二次绕组的同极性端子二次图中标以号根据减极性原则若一次侧电流从流入为正则二次侧电流从流出为正,0
电流互感器误差曲线的含义及用途,1
所谓误差曲线是指在比值误差为时一次电流倍数与二次负载的关系曲线理论分析表明按误差曲线选择电流互感器即能满足继电保护的灵敏性和选择性要求,0
,0
电流互感器二次负载阻抗的大小对互感器的准确度有很大影响这是因为如果电流互感器的二次负载阻抗增加得很多超出了所容许的二次负载阻抗时励磁电流的数值就会大大增加而使铁芯进入饱和状态在这种情况下一次电流的很大一部分将用来提供励磁电流从而使互感器的误差大为增加其准确度就随之下降了,0
电压互感器的接线方式,1
单相电压互感器接线方式如下图所示,0
两只单相电压互感器构成形接线方式如下图所示,0
三只电压互感器构成的星形接线如下图所示,0
三相五柱式电压互感器的接线方式如下图所示,0
解释电压互感器电压比的含义,1
电压互感器一般由三只单相电压互感器按的接线方式接线电压比标注为比,0
表示电压互感器一二次侧电压一次侧为,0
二次侧为即,0
表示电压互感器二次绕组电压即相电压,0
表示接成开口三角形的三个辅助绕组输出的零序电压一次系统单相接地时每个辅助绕组零序电压为,0
开口三角形合成零序电压为,0
电压互感器和电流互感器在作用原理上有什么区别,1
主要区别是正常运行时工作状态很不相同表现为,0
电流互感器二次可以短路但不得开路电压互感器二次可以开路但不得短路,0
相对于二次侧的负荷来说电压互感器的一次内阻抗较小以至可以忽略可以认为电压互感器是一个电压源而电流互感器的一次却内阻很大以至可以认为是一个内阻无穷大的电流源,0
电流互感器在运行中为什么要严防二次侧开路,1
电流互感器在正常运行时二次电流产生的磁通势对一次电流产生的磁通势起去磁作用励磁电流甚小铁芯中的总磁通很小二次绕组的感应电动势不超过几十伏如果二次侧开路二次电流的去磁作用消失其一次电流完全变为励磁电流引起铁芯内磁通剧增铁芯处于高度饱和状态加之二次绕组的匝数很多就会在二次绕组两端产生很高甚至可达数千伏的电压不但可能损坏二次绕组的绝缘而且将严重危及人身安全再者由于磁感应强度剧增使铁芯损耗增大严重发热甚至烧坏绝缘因此电流互感器二次侧开路是绝对不允许的这是电气试验人员的一个大忌鉴于以上原因电流互感器的二次回路中不能装设熔断器二次回路一般不进行切换若需要切换时应有防止开路的可靠措施,0
电压互感器在运行中为什么要严防二次侧短路,1
电压互感器是一个内阻极小的电压源正常运行时负载阻抗很大相当于开路状态二次侧仅有很小的负载电流当二次侧短路时负载阻抗为零将产生很大的短路电流会将电压互感器烧坏因此电压互感器二次侧短路是电气试验人员的又一大忌,0
断路器控制回路的任务的分类,1
断路器控制回路用来操作断路器的跳合闸断路器控制回路可按其操作电源的电流类别分为直流操作控制回路交流操作控制回路和直流合闸交流跳闸控制回路等也可直接按断路器操动机构型式分为手动操动机构的控制回路电磁操动机构的控制回路和弹簧操动机构的控制回路等也可按其回路完好性的监视信号类别分为灯光监视的控制回路和音响监视的控制回路,0
对断路器控制回路有哪些基本要求,1
应有对控制电源的监视回路断路器的控制电源最为重要一旦失去电源断路器便无法操作因此无论何种原因当断路器控制电源消失时应发出声光信号提示值班人员及时处理对于遥控变电所断路器控制电源的消失应发出遥信,0
应经常监视断路器跳闸合闸回路的完好性当跳闸或合闸回路故障时应发出断路器控制回路断线信号,0
应有防止断路器跳跃的电气闭锁装置发生跳跃对断路器是非常危险的容易引起机构损伤甚至引起断路器的爆炸故必须采取闭锁措施断路器的跳跃现象一般是在跳闸合闸回路同时接通时才发生防跳回路的设计应使得断路器出现跳跃时将断路器闭锁到跳闸位置,0
对于断路器的合闸跳闸状态应有明显的位置信号故障自动跳闸自动合闸时应有明显的动作信号,0
断路器的操作动力消失或不足时例如弹簧机构的弹簧未拉紧液压或气压机构的压力降低等应闭锁断路器的动作并发出信号,0
气体绝缘的断路器当气体压力降低而断路器不能可靠运行时也应闭锁断路器的动作并发出信号,0
在满足上述的要求条件下力求控制回路接线简单采用的设备和使用的电缆最少,0
信号装置的任务和分类,1
断路器控制信号回路中的信号装置用来指示断路器的跳合位置及一次线路和控制回路的运行状态信号装置按用途分有断路器位置信号事故信号和预告信号,0
断路器位置信号用来显示断路器正常工作的位置状态一般用红灯亮表示断路器的合闸位置绿灯亮表示断路器的跳闸位置,0
事故信号用来显示断路器在事故情况下的工作状态一般用红灯闪光表示断路器自动合闸用绿灯闪光表示断路器自动跳闸事故信号还有事故音响信号和光字牌,0
预告信号是在一次电路和设备出现不正常状态时或故障初期所发出的报警信号例如变压器过负荷或轻瓦斯动作时就发出区别于事故音响信号的另一种预告音响信号同时光字牌亮指示出故障的性质和地点,0
何谓断路器的跳跃和防跳,1
所谓跳跃是指断路器在手动合闸或自动装置动作使其合闸时如果操作控制开关未复归或控制开关触点自动装置触点卡住此时恰巧继电保护动作使断路器跳闸发生的多次跳一合现象,0
所谓防跳就是利用操作机构本身的机械闭锁或另在操作接线上采取措施以防止这种跳跃现象的发生,0
常用控制开关的型式和触点图表,1
控制开关是断路器控制和信号回路的主要控制元件由运行人员直接操作发出命令脉冲使断路器合跳闸发电厂变电站通常采用是型系列自动复位控制开关,0
型控制开关的型式,0
根据控制开关手柄有无内附指示灯有无定位和有无,0
自动复位机构控制开关可具有表所示的几种型式,0
控制开关的触点图表,0
表明控制开关的操作手柄在不同位置时触点盒内各触点通断情况的图表称为触点图表,0
型控制开关的触点图表如表所示其中表示面板与手柄的型式表示方型面板表示手柄型式型控制开关触点图表,0
图表中表明控制开关共有六个位置即预备合闸合闸合闸后预备跳闸跳闸跳闸后其中跳闸后和合闸后为两个固定位置手柄在水平和垂直位置预备合闸,0
和预备跳闸为两个预备位置手柄虽也在水平和垂直位置但操作过程中只作为过渡位置合闸,0
和跳闸为两个操作位置手柄由垂直位置顺时针转和由水平位置逆时针转图表中表示触点为接通状态一表示触点为断开位置控制开关的操作过程为当断路器为断开状态操作手柄位于跳闸后的水平位置需进行断路器的合闸操作时运行人员先将手柄顺时针转至预备合闸位置再继续转至合闸位置此时型触点盒中的触点接通发出合闸脉冲断路器合闸断路器合闸后运行人员松开手柄手柄在复位弹簧作用下自动复归至合闸后的垂直位置逆时针转至预备跳闸位置再继续转至跳闸位置此时型触点盒的触点接通发跳闸脉冲断路器跳闸断路器跳闸后运行人员松开手柄使其复归至跳闸后的水平位置控制开关合跳闸操作分两步进行可防止误操作,0
何谓电气主接线图,1
发电厂和变电所的主接线是由发电机变压器断路器隔离开关互感器母线和电缆等电气设备按一定顺序连接的用以产生汇集和分配电能的电路电气主接线图一般以单线图表示下图为一中小型电厂电气主接线图通过分析该电气主接线图的运行方式可以掌握电气主接线图的设计原则并且可以按照设备运行特点进行保护的配置,0
常用操作电源的种类,1
由蓄电池组供电的直流操作电源具有可靠性高和容量较大的突出优点但投资较大运行维护也较复杂,0
整流操作电源目前应用最为广泛常用的有硅整流电容储能的和带镉镍蓄电池的硅流的两种,0
交流操作电源具有简单经济便于运行维护的突出优点在小型变电所中应用很广,0
交直流混合操作电源例如合闸采用交流操作电源而继电保护自动装置和跳闸采用蓄电池组供电,0
常见的直流系统原理结线,1
对于不同用途的交流回路使用不同的数字组,0
电流回路的数字标号一般以十位数字为一组如一若不够亦可以位数为一组供一套电流互感器之用,0
几组相互并联的电流互感器的并联回路应先取数字组中最小的一组数字标号不同相的电流互感器并联时并联回路应选任何一相电流互感器的数字组进行标号,0
跳闸合闸命令应保持足够长的时间并且当跳闸或合闸完成后命令脉冲应能自动解除因断路器的机构动作需要有一定的时间跳合闸时主触头到达规定位置也要有一定的行程这些加起来就是断路器的固有动作时间以及灭弧时间命令保持足够长的时间就是保障断路器能可靠的跳闸合闸为了加快断路器的动作增加跳合闸线圈中电流的增长速度要尽可能减小跳合闸线圈的电感量为此跳合闸线圈都是按短时带电设计的,0
因此跳合闸操作完成后必须自动断开跳合闸回路否则跳闸或合闸线圈会烧坏通常由断路器的辅助触点自动断开跳合闸回路,0
简述正常和高颅压情况下颅内容积和代偿调节机制,1
颅腔是一不能伸缩的容器总体积固定不变,0
腔内脑组织脑脊液血液三者的总体积与颅腔容积相适应三种内容物中脑组织不能伸缩容积代偿作用最小脑脊液和血液是流动的对颅腔代偿起重要作用,0
正常颅腔容积代偿为颅腔内三种内容物中任何一种体积的增大其他两种内容物同时或至少一种必然相应地代偿性缩减以取得平衡使颅内压维持在正常范围内这就是颅内压的生理调节,0
颅内压增高时主要靠脑脊液吸收增加分泌减少和被排挤入脊蛛网膜下腔其次靠颅内静脉系统血液被排挤出颅外和脑血管收缩使脑血流量减少来调节,0
简述颅内压增高的病理因素,1
颅脑外伤后脑水肿是因毛细血管通透性改变血管内液体外渗所致,0
颅内占位性病变如颅内肿瘤血肿脓肿结核瘤寄生虫囊肿等占据了颅内部分空间,0
颅内大血管急性梗塞伴发脑水肿,0
脑与脑膜炎症,0
颅内大静脉受压或栓塞所致的颅内血液回流障碍,0
脑脊液循环通路受阻脑脊液产生过多或吸收障碍,0
全身性疾病如中毒休克及电解质紊乱等所引起的脑水肿,0
简述脑水肿的发生机制,1
血脑屏障功能障碍,0
是血管源性脑水肿的发病基础是因毛细血管通透性增加血浆外溢聚集于脑细胞外间隙而造成,0
脑细胞代谢障碍,0
各种原因引起的脑细胞缺氧缺血细胞内减少钠泵不能正常工作细胞内增多水分大量进入细胞内那么导致细胞毒性脑水肿,0
脑脊液循环障碍,0
是形成间质性脑水肿的基础各种脑积水时脑室内脑脊液因压力高通过受损的室管膜进入脑室周围的白质间隙,0
血浆渗透压降低,0
急性水中毒低钠血症时细胞外液呈低渗透压状态液体进入细胞内则细胞肿胀,0
流体静力压变化的影响,0
严重或快速的动脉压增高或静脉回流受阻导致毛细血管床压力增高可致细胞外脑水肿,0
何谓脑疝简介其种类,1
脑疝是指在颅内压增高的情况下脑组织通过某些脑池向压力相对较低的部位移位的结果即脑组织由其原来正常的位置而进入了一个异常的位置,0
脑疝的种类,0
小脑幕切迹疝,0
前疝也称颞叶沟回疝是颞叶沟回疝于脚间池及环池的前部后疝颞叶内侧部疝于四叠体池及环池的后部小脑幕切迹上疝后颅凹占位病变时小脑上蚓部可向上疝入小脑幕切迹的四叠体池,0
枕骨大孔疝,0
,0
后颅凹占位病变时可致小脑扁桃体疝入枕骨大孔,0
大脑镰疝,0
,0
一侧大脑半球占位病变可使同侧扣带回经大脑镰下缘疝入对侧胼胝体受压下移,0
蝶骨嵴疝,0
颅前凹和颅中凹的占位病变由于病变部压力相对高一些则额眶回可越过蝶骨嵴进入颅中凹可颞叶前部挤向颅前凹中心疝幕上压力增高致使大脑深部结构及脑干纵轴牵张移位,0
何谓小脑幕切迹疝简述其主要临床表现,1
幕上占位性病变或严重脑水肿致颅内压力增高超过颅脑容积代偿能力并使颅内各分腔指幕上幕下之间形成压力差导致颞叶沟回疝入小脑幕切迹称小脑幕切迹疝,0
其临床表现颅内压增高症状,0
头痛呕吐眼底水肿等生命体征变化明显,0
血压升高呼吸深慢脉缓有力意识障碍,0
由躁动渐渐昏迷或原来昏迷加深患侧瞳孔先短暂缩小后散大光反应消失继而双瞳孔散大对侧肢体偏瘫伴锥体束征,0
何谓枕骨大孔疝常见的症状体征有哪些,1
幕下后颅凹占位性病变时由于颅内压急剧增高导致小脑扁桃体和邻近的小脑组织向下移位经枕骨大孔疝入椎管内压迫损害延髓并阻塞第四脑室出口和枕大池称枕骨大孔疝,0
最常见的症状突然剧烈头痛烦躁频繁呕吐颈项强直甚至角弓反张意识障碍出现较晚亦可突然昏迷呼吸停止早期可有血压升高呼吸不规则等生命体征改变而无定位体征很少出现瞳孔变化晚期才出现双侧瞳孔散大,0
何谓耳源性脑积水简述其主要表现和治疗要点,1
由于中耳炎或乳突炎继发横窦乙状窦血栓性静脉炎或血栓形成颅内静脉血回流受阻或由于蛛网膜颗粒因炎症功能丧失导致脑脊液吸收障碍静脉回流和脑脊液吸收障碍造成的脑积水称耳源性脑积水,0
其主要表现为高颅压表现如头痛呕吐眼底水肿缺乏脑局灶症状腰穿脑压高但脑脊液化验正常头颅示交通性脑积水表现早期可不明显,0
治疗要点抗感染,0
针对原发病灶抗感染治疗降颅压,0
用脱水剂或腰穿放脑脊液应用激素,0
何谓混合性中风简述其发生机制,1
在一个病人的一次中风期间脑部可以同时或相继发生血管出血和梗塞两种病理过程称混合性中风,0
产生机制脑出血时血肿形成压迫或阻塞微循环蛛网膜下腔出血刺激小动脉和毛细血管痉挛脑血管破裂处远端血管内压力下降血流量下降局部缺血缺氧以上三种情况可致血管梗塞脑梗塞时受损血管通透性增加可出现渗血和少量出血故血管出血和梗塞可互为因果相继发生,0
何谓黄斑回避有何临床意义简述其出现的可能机制,1
视野检查时在偏盲或全盲视野内中心注视区功能保留的现象称黄斑回避,0
该现象的出现见于视放射中后部或视觉皮质区的损害或病变,0
对于出现黄斑回避的机制在下列解释黄斑区由两侧大脑皮层支配胼胝体尾部有纤维通到两侧视放射纤维的腹侧可能是联系两侧黄斑束者这是目前较流行的解释由于黄斑纤维很广泛地分布在枕叶皮层通常一个病变很难将所分布的区域完全破坏故可呈黄斑回避现象由于黄斑纤维终于枕叶皮层该部有来自个血源的血液循环供应所以当病变只阻断一支血液循环时黄斑纤维功能不受损,0
临床上视神经乳头水肿与视乳头炎如何鉴别,0
视神经乳头水肿同视乳头炎眼底改变有相似之处容易混淆但从下列几点可以鉴别,0
视乳头水肿多双眼同时存在视乳头炎常先为单眼,0
视力减退,0
视乳头水肿者较轻或不明显视乳头炎早期即有明显视力减退视乳头隆起,0
视乳头水肿时多视乳头炎多眼底血管改变,0
视乳头水肿视网膜静脉怒张明显视乳头炎动静脉轻度扩张眼底出血,0
视乳头水肿多见且出血广泛视乳头炎无出血或出血轻视乳头水肿多伴有头痛呕吐等高颅压征,0
视乳头炎无眼痛,0
视乳头水肿无眼痛视乳头炎多存在,0
何谓第五第六脑室对其应如何分别不同情况进行处理,1
第五脑室指透明隔腔第六脑室是海马连合闭合不全所致亦称穹窿腔可由第五脑室向后扩展形成也可单独存在可以先天透明隔或海马联合闭合不全而成或与后天外伤有关,0
若其对脑室室间孔无压迫不造成脑积水和颅高压不必治疗若压迫室间孔造成梗阻性脑积水可行手术切除分流术等治疗也有用地塞米松乙酰谷酰胺治愈的报导,0
三叉神经半月节综合征有哪些临床表现意义是什么,0
三叉神经半月节综合征主要临床表现有,0
患侧面部麻木和疼痛角膜反射减弱或消失咀嚼无力颞肌和咀嚼肌萎缩张口时下颌偏向患侧邻近结构受累时出现动眼神经和外展神经瘫痪若病变向颅后凹扩展时可出现共济失调和听力障碍,0
该综合征的出现常见于三叉神经半月节神经纤维瘤岩尖脑膜瘤软骨瘤和胆质瘤等,0
小脑桥脑角综合征有哪些表现有何临床意义,0
小脑桥脑角综合征的临床表现有常见颅神经受累所谓病且多在早期出现第颅神经受累较少并出现于疾病之晚期小脑症状是由于病变累及小脑半球所致故出现步态蹒跚眼球震颤和共济失调等颅内压增高是由于病变发展影响到脑脊液循环所致病人出现头痛呕吐眼底水肿等但出现较晚脑干症状,0
该综合征出现最常见于听神经鞘瘤桥小脑角胆质瘤脑膜瘤等病变,0
眶上裂综合征和海绵窦综合征有什么异同点,0
相同点,0
两综合征所累及的颅神经相同都是动眼神经滑车神经外展神经三叉神经第支受累表现眼球运动障碍上睑下垂瞳孔散大角膜反射减退等,0
不同点,0
病变部位不同眶上裂综合征病变位于眶上裂周围海绵窦综合征病变位于海绵窦区病因不同眶上裂综合征多因肿瘤外伤炎症引起海绵窦综合征多因外伤或炎症致静脉窦闭塞或颈内动脉海绵窦瘘引起少数见于肿瘤眼部的症状不同海绵窦综合征如颈内动脉海绵窦瘘有结膜瘀血搏动性凸眼眼部闻及血管杂音海绵窦炎可见结膜瘀血但无搏动性凸眼和杂音眶上裂综合征无上述症状,0
何谓抽搐简述其临床常见类型,1
病人身体某一部位肌肉呈现快速重复阵挛性或强直性不自主收缩称为抽搐,0
临床常见于癫痫样抽搐,0
大发作局灶性发作等症状性抽搐,0
代谢性抽搐如子痫低钙肝昏迷等中毒性抽搐见于铅汞砷及等中毒感染性抽搐败血症中毒性菌痢缺氧性抽搐窒息中毒等颅内疾患所致抽搐如肿瘤外伤寄生虫炎症脑血管畸形等其他高热性惊厥日射病等癔病性抽搐其他性质抽搐,0
狂犬病破伤风手足搐搦症等,0
何谓四肢瘫常见于哪些疾病,1
四肢完全不能随意运动肌力部分或全部丧失肌张力为弛缓性或痉挛性称谓四肢瘫,0
常见于两侧大脑或脑干病变,0
如双侧大脑皮层内囊基底节脑干区疾病多见于脑血管病颈髓病变,0
如颈髓或枕大孔区肿瘤颈髓外伤肌萎缩侧束硬化症上矢状窦的急性损伤,0
如颅脑外伤或火器伤致上矢状窦损伤闭塞肌肉疾病,0
如多发性肌炎周期性麻痹偶见于进行性肌营养不良重症肌无力周围神经病变,0
如急性感染性多发性神经根炎,0
何谓去大脑强直和去皮层强直病损部位及临床意义是什么,1
病人意识丧失颈后仰躯干后屈上肢内收内旋伸直下肢向后伸直全身呈足弓反张样强直称去大脑强直,0
病损位于中脑红核至前庭核之间若去大脑强直由阵发性转为持续性说明脑干损伤严重死亡率残废率很高,0
病人意识丧失两上肢呈屈曲内收双下肢伸直状称去皮层强直,0
见于双侧大脑半球的广泛损害或双侧大脑深部结构损害如缺氧缺血及损伤等如病情好转去皮层强直可逐渐消失若损害水平向低发展可转化为去大脑强直,0
简述锥体束损害与锥体外系统疾病的临床鉴别要点,1
肌张力改变,0
肌张力增高在锥体束损害时称痉挛有折刀症锥体外系疾病的肌张力增高称强直称铅管样强直肌张力降低常伴不自主运动见于小舞蹈症肌张力时高时低见于手足徐动症或扭转痉挛,0
肌张力增高的部位,0
锥体束损害见于上肢的屈肌下肢的伸肌锥体外系疾病见于四肢的伸屈肌和躯干的屈肌,0
自主运动,0
前者不能后者存在或有较度障碍,0
不自主运动,0
锥体束损害无锥体外系疾病则多见,0
腱反射,0
锥体束损害亢进锥体外系疾病正常或减弱,0
巴彬斯基征,0
锥体束损害阳性锥体外系疾病阴性,0
简述脊髓休克的概念及发生机制,1
脊髓休克这一术语的应用有多年主要描述脊髓损伤后离断脊髓的兴奋性降低,0
在脊髓损伤后横断平面以下所有骨骼肌的反射和内脏反射低下或完全抑制自主反射消失损伤平面以下无汗,0
脊髓休克的机制尚不清楚有人认为是损伤平面以上神经系统的易化作用突然中断使脊髓运动神经元和中间神经元兴奋性降低在最接近损伤处的数段脊髓中抑制过程最深持续时间也最长损伤区上方的数段脊髓可见暂时性反射抑制脊髓休克一般持续周周但膀胱感染褥疮及其它并发症可延长时间年轻人创伤后无反射反射抑制时间一般较短,0
脊髓半侧损伤综合征主要表现有哪些常见的原因是什么,0
脊髓半侧损伤综合征又称布郎色夸氏综合征主要表现病变同侧受损平面以下出现上运动神经元性瘫及深感觉障碍病变对侧损伤平面以下浅感觉障碍受损神经根及受损脊髓节段出现周围性运动感觉性障碍由于感觉纤维和运动纤维传导路和交叉部位不同运动纤维为下行纤维深感觉纤维为上行纤维它们均在脑干交叉至对侧而浅感觉纤维也为上行纤维但在脊髓内交叉到对侧,0
此综合征系脊髓一侧遭受各种不同原因的压迫损伤所致,0
简述细胞的功能,1
能产生和释放大量营养因子如神经生长因子脑源性神经营养因子睫状神经营养因子和轴突趋化因子等这些因子在神经再生中有重要的作用,0
能合成与分泌一些其他成分的细胞因子如白介素对损伤的周围神经元某些特异的细胞群落存活有促进作用,0
能产生许多细胞粘附因子细胞连接素和髓鞘相关糖蛋白在参与调节轴突生长速度和方向上占有重要地位,0
最新研究认为能产生神经类固醇特别是黄体酮其在轴突再生中可能是髓鞘形成的诱导剂,0
总之细胞对神经生长和轴突再生有很好的促进作用,0
简述截瘫病人出现尿潴留的原因,1
下运动神经元损伤病变在脊髓圆锥部和马尾时逼尿肌为周围性麻痹膀胱迟缓尿液进入膀胱但无力排出出现尿潴留晚期出现充溢性尿失禁,0
上运动神经元病变时逼尿肌张力增高应激性增强尿液进入膀胱后无力保留不能抑制而不自主排出即出现尿失禁但当急性上运动神经元损害时如脊髓外伤则往往发生脊髓休克也可使逼尿肌麻痹此时虽尿潴留很多也无力排出而出现尿失潴留,0
何谓交叉性瘫简述其病变定位及临床意义,1
交叉性瘫是指病灶对侧的中枢性偏瘫和病灶侧的周围性颅神经瘫因瘫痪不在一侧而是交叉存在而得名,0
当病损位于脑干偏一侧时损伤了未交叉的皮质脊髓束和已交叉的皮质脑干束纤维或颅神经核所致,0
如损害发生在一侧中脑大脑角处就会出现完全的对侧肢体面舌中枢性瘫和同侧的动眼神经麻痹瞳孔散大光反射消失眼球外斜上睑下垂等交叉性瘫是脑干病变的典型临床表现,0
为什么瞳孔对光反应和角膜反射可用于观察病情的轻重,0
瞳孔对光反应的反射弧是视网膜感光细胞视神经视交叉视束四叠体丘脑上部中脑动眼神经核动眼神经睫状神经节瞳孔括约肌,0
角膜反射的反射弧为角膜三叉神经第一支眼支桥脑三叉神经感觉核面神经核面神经眼轮匝肌,0
上述两种反射的中枢均位于脑干如果脑干受损害其维持生命的基本功能如心跳呼吸即会受到抑制病人就会死亡由此可见瞳孔对光反应和角膜反射的存在与否标志着脑干功能的好坏能反映患者病情的轻重,0
简述颅脑外伤后继发性脑缺血损害的分类及形成原因,1
脑局部微循环障碍性脑缺血,0
原因包括微小血管和毛细血管内皮损伤肿胀血管内凝血微血栓形成血管周围细胞肿胀和血肿的挤压局部产生的各种血管活性物质如钙离子组胺前列腺素神经肽等致微小动脉收缩各级动脉痉挛及微静脉回流受阻等微循环障碍主要局限于挫伤灶及其邻近区域,0
系统供血不足性全脑缺血性损害,0
最常见的原因为血容量不足性低血压收缩压和颅内压增高导致显著降低只要供血不足的程度和时间超过神经细胞所能耐受的水平即可造成缺血性损害,0
试述高血压脑出血时常见的偏瘫症特点,0
高血压性脑出血常发生在内囊或外囊部位内囊是神经传导束较集中的地方因此当内囊受累后常出现三偏征,0
三偏征对侧偏瘫,0
内囊膝及后支的皮质脊髓束和皮质脑干束受损对侧偏盲,0
内囊后支视放射受累所致对侧偏身感觉障碍,0
由于内囊后支丘脑皮质传导束受累所致,0
因外囊同内囊紧相邻故外囊出血很容易合并内囊区的损伤水肿而出现三偏症,0
简述隐匿性脑血管畸形的概念和特点,1
隐匿性脑血管畸形为一种微小的血管畸形脑血管造影不能显示肉眼也不能发现它是自发性脑内血肿产生的原因之一有人称之为小型血管畸形有人将直径小于的血管畸形称之为隐匿性血管畸形它可发生于脑的任何部位平时无症状以出血为首发症状好发于青年人,0
典型病史是一个健康的青年人在日间突然发生头痛呕吐逐渐加重的意识障碍抽搐和偏瘫有的形成脑疝而死亡有的稳定下来逐渐恢复故年青人有突然发生的自发性脑内血肿脑血管造影未查到颅内动脉瘤血管畸形及其他出血原因者应想到隐匿性脑血管畸形之可能,0
简述病的诊断要点及该病形成的可能原因,1
诊断要点脑血管造影片可见颈内动脉颅内分叉处狭窄或闭塞造影片上蝶鞍区有云雾状异常血管网儿童多以偏瘫起病就诊成人多以蛛网膜下腔出血起病,0
形成的真正原因不明通常认为各种原因致颈内动脉颅内分叉区狭窄或闭塞后由于脑底组织缺血脑底穿动脉形成侧支循环在造影片上见云雾状纤细异常的血管网,0
脊髓空洞症的形成原因及手术要点是什么,0
脊髓空洞症形成的原因有四种学说流体动力学说颅内和椎管内压力分离学说脑脊液脊髓实质渗透学说循环障碍学说,0
目前对每个病人的脊髓空洞的发生机制仍难以肯定并且多数都合并畸形其公认的原因为脑脊液不断冲击,0
手术要点手术应在显微镜下操作应解除小脑扁桃体疝对脑脊液通道的影响应避开颈腰膨大脊髓供血薄弱区和圆锥等重要功能集中区作为引流点引流点应在脊髓空洞高位为合适过去认为低位引流较好根据原理造成空洞的压力来自上方若以低位引流虽解决了空洞内液体的去向但不能解除高处液体压力在通过空洞腔对引流点以上脊髓的冲击力而不能达到治疗最佳效果故高位引流较低位引流更符合道理引流点应选择在空洞最大处此处脊髓最薄手术造成损伤机会较少,0
简述原发性蛛网膜囊肿形成的机制,1
