content,label,tokens
相对于二次侧的负荷来说电压互感器的一次内阻抗较小以至可以忽略可以认为电压互感器是一个电压源而电流互感器的一次却内阻很大以至可以认为是一个内阻无穷大的电流源,0,"['相对', '于', '二次', '侧', '的', '负荷', '来说', '电压', '互感器', '的', '一次', '内', '阻抗', '较', '小', '以至', '可以', '忽略', '可以', '认为', '电压', '互感器', '是', '一个', '电压', '源', '而', '电流', '互感器', '的', '一次', '却', '内阻', '很大', '以至', '可以', '认为', '是', '一个', '内阻', '无穷大', '的', '电流', '源']"
电流互感器在运行中为什么要严防二次侧开路,1,"['电流', '互感器', '在', '运行', '中', '为什么', '要', '严防', '二次', '侧', '开路']"
电流互感器在正常运行时二次电流产生的磁通势对一次电流产生的磁通势起去磁作用励磁电流甚小铁芯中的总磁通很小二次绕组的感应电动势不超过几十伏如果二次侧开路二次电流的去磁作用消失其一次电流完全变为励磁电流引起铁芯内磁通剧增铁芯处于高度饱和状态加之二次绕组的匝数很多就会在二次绕组两端产生很高甚至可达数千伏的电压不但可能损坏二次绕组的绝缘而且将严重危及人身安全再者由于磁感应强度剧增使铁芯损耗增大严重发热甚至烧坏绝缘因此电流互感器二次侧开路是绝对不允许的这是电气试验人员的一个大忌鉴于以上原因电流互感器的二次回路中不能装设熔断器二次回路一般不进行切换若需要切换时应有防止开路的可靠措施,0,"['电流', '互感器', '在', '正常', '运行', '时', '二次', '电流', '产生', '的', '磁通', '势', '对', '一次', '电流', '产生', '的', '磁通', '势起', '去', '磁', '作用', '励磁', '电流', '甚小', '铁芯', '中', '的', '总', '磁通', '很小', '二次', '绕组', '的', '感应', '电动势', '不', '超过', '几十', '伏', '如果', '二次', '侧', '开路', '二次', '电流', '的', '去', '磁', '作用', '消失', '其', '一次', '电流', '完全', '变为', '励磁', '电流', '引起', '铁芯', '内', '磁通', '剧增', '铁芯', '处于', '高度', '饱和状态', '加之', '二次', '绕组', '的', '匝数', '很多', '就', '会', '在', '二次', '绕组', '两端', '产生', '很', '高', '甚至', '可', '达', '数千伏', '的', '电压', '不但', '可能', '损坏', '二次', '绕组', '的', '绝缘', '而且', '将', '严重', '危及', '人身安全', '再者', '由于', '磁感应', '强度', '剧增', '使', '铁芯', '损耗', '增大', '严重', '发热', '甚至', '烧坏', '绝缘', '因此', '电流', '互感器', '二次', '侧', '开路', '是', '绝对', '不', '允许', '的', '这', '是', '电气', '试验', '人员', '的', '一个', '大忌', '鉴于', '以上', '原因', '电流', '互感器', '的', '二次', '回路', '中', '不能', '装设', '熔断器', '二次', '回路', '一般', '不', '进行', '切换', '若', '需要', '切换', '时', '应有', '防止', '开路', '的', '可靠', '措施']"
电压互感器在运行中为什么要严防二次侧短路,1,"['电压', '互感器', '在', '运行', '中', '为什么', '要', '严防', '二次', '侧', '短路']"
电压互感器是一个内阻极小的电压源正常运行时负载阻抗很大相当于开路状态二次侧仅有很小的负载电流当二次侧短路时负载阻抗为零将产生很大的短路电流会将电压互感器烧坏因此电压互感器二次侧短路是电气试验人员的又一大忌,0,"['电压', '互感器', '是', '一个', '内阻', '极小', '的', '电压', '源', '正常', '运行', '时', '负载', '阻抗', '很大', '相当于', '开路', '状态', '二次', '侧仅', '有', '很小', '的', '负载', '电流', '当', '二次', '侧', '短路', '时', '负载', '阻抗', '为', '零', '将', '产生', '很大', '的', '短路', '电流', '会', '将', '电压', '互感器', '烧坏', '因此', '电压', '互感器', '二次', '侧', '短路', '是', '电气', '试验', '人员', '的', '又', '一', '大忌']"
断路器控制回路的任务的分类,1,"['断路器', '控制', '回路', '的', '任务', '的', '分类']"
断路器控制回路用来操作断路器的跳合闸断路器控制回路可按其操作电源的电流类别分为直流操作控制回路交流操作控制回路和直流合闸交流跳闸控制回路等也可直接按断路器操动机构型式分为手动操动机构的控制回路电磁操动机构的控制回路和弹簧操动机构的控制回路等也可按其回路完好性的监视信号类别分为灯光监视的控制回路和音响监视的控制回路,0,"['断路器', '控制', '回路', '用来', '操作', '断路器', '的', '跳', '合闸', '断路器', '控制', '回路', '可', '按', '其', '操作', '电源', '的', '电流', '类别', '分为', '直流', '操作控制', '回路', '交流', '操作控制', '回路', '和', '直流', '合闸', '交流', '跳闸', '控制', '回路', '等', '也', '可', '直接', '按', '断路器', '操动', '机构', '型式', '分为', '手动', '操动', '机构', '的', '控制', '回路', '电磁', '操动', '机构', '的', '控制', '回路', '和', '弹簧', '操动', '机构', '的', '控制', '回路', '等', '也', '可', '按', '其', '回路', '完好性', '的', '监视', '信号', '类别', '分为', '灯光', '监视', '的', '控制', '回路', '和', '音响', '监视', '的', '控制', '回路']"
对断路器控制回路有哪些基本要求,1,"['对', '断路器', '控制', '回路', '有', '哪些', '基本', '要求']"
应有对控制电源的监视回路断路器的控制电源最为重要一旦失去电源断路器便无法操作因此无论何种原因当断路器控制电源消失时应发出声光信号提示值班人员及时处理对于遥控变电所断路器控制电源的消失应发出遥信,0,"['应有', '对', '控制', '电源', '的', '监视', '回路', '断路器', '的', '控制', '电源', '最为', '重要', '一旦', '失去', '电源', '断路器', '便', '无法', '操作', '因此', '无论', '何种', '原因', '当', '断路器', '控制', '电源', '消失', '时应', '发出', '声光', '信号', '提示', '值班人员', '及时处理', '对于', '遥控', '变电所', '断路器', '控制', '电源', '的', '消失', '应', '发出', '遥信']"
应经常监视断路器跳闸合闸回路的完好性当跳闸或合闸回路故障时应发出断路器控制回路断线信号,0,"['应', '经常', '监视', '断路器', '跳闸', '合闸', '回路', '的', '完好性', '当', '跳闸', '或', '合闸', '回路', '故障', '时应', '发出', '断路器', '控制', '回路', '断线', '信号']"
应有防止断路器跳跃的电气闭锁装置发生跳跃对断路器是非常危险的容易引起机构损伤甚至引起断路器的爆炸故必须采取闭锁措施断路器的跳跃现象一般是在跳闸合闸回路同时接通时才发生防跳回路的设计应使得断路器出现跳跃时将断路器闭锁到跳闸位置,0,"['应有', '防止', '断路器', '跳跃', '的', '电气', '闭锁', '装置', '发生', '跳跃', '对', '断路器', '是', '非常', '危险', '的', '容易', '引起', '机构', '损伤', '甚至', '引起', '断路器', '的', '爆炸', '故', '必须', '采取', '闭锁', '措施', '断路器', '的', '跳跃', '现象', '一般', '是', '在', '跳闸', '合闸', '回路', '同时', '接通', '时才', '发生', '防跳', '回路', '的', '设计', '应', '使得', '断路器', '出现', '跳跃', '时', '将', '断路器', '闭锁', '到', '跳闸', '位置']"
对于断路器的合闸跳闸状态应有明显的位置信号故障自动跳闸自动合闸时应有明显的动作信号,0,"['对于', '断路器', '的', '合闸', '跳闸', '状态', '应有', '明显', '的', '位置', '信号', '故障', '自动', '跳闸', '自动', '合闸', '时', '应有', '明显', '的', '动作', '信号']"
断路器的操作动力消失或不足时例如弹簧机构的弹簧未拉紧液压或气压机构的压力降低等应闭锁断路器的动作并发出信号,0,"['断路器', '的', '操作', '动力', '消失', '或', '不足', '时', '例如', '弹簧', '机构', '的', '弹簧', '未', '拉紧', '液压', '或', '气压', '机构', '的', '压力', '降低', '等', '应', '闭锁', '断路器', '的', '动作', '并', '发出信号']"
气体绝缘的断路器当气体压力降低而断路器不能可靠运行时也应闭锁断路器的动作并发出信号,0,"['气体', '绝缘', '的', '断路器', '当', '气体', '压力', '降低', '而', '断路器', '不能', '可靠', '运行', '时', '也', '应', '闭锁', '断路器', '的', '动作', '并', '发出信号']"
在满足上述的要求条件下力求控制回路接线简单采用的设备和使用的电缆最少,0,"['在', '满足', '上述', '的', '要求', '条件', '下', '力求', '控制', '回路', '接线', '简单', '采用', '的', '设备', '和', '使用', '的', '电缆', '最少']"
信号装置的任务和分类,1,"['信号', '装置', '的', '任务', '和', '分类']"
断路器控制信号回路中的信号装置用来指示断路器的跳合位置及一次线路和控制回路的运行状态信号装置按用途分有断路器位置信号事故信号和预告信号,0,"['断路器', '控制', '信号', '回路', '中', '的', '信号', '装置', '用来', '指示', '断路器', '的', '跳合', '位置', '及', '一次', '线路', '和', '控制', '回路', '的', '运行', '状态', '信号', '装置', '按', '用途', '分有', '断路器', '位置', '信号', '事故', '信号', '和', '预告', '信号']"
断路器位置信号用来显示断路器正常工作的位置状态一般用红灯亮表示断路器的合闸位置绿灯亮表示断路器的跳闸位置,0,"['断路器', '位置', '信号', '用来', '显示', '断路器', '正常', '工作', '的', '位置', '状态', '一般', '用', '红灯', '亮', '表示', '断路器', '的', '合闸', '位置', '绿灯', '亮', '表示', '断路器', '的', '跳闸', '位置']"
事故信号用来显示断路器在事故情况下的工作状态一般用红灯闪光表示断路器自动合闸用绿灯闪光表示断路器自动跳闸事故信号还有事故音响信号和光字牌,0,"['事故', '信号', '用来', '显示', '断路器', '在', '事故', '情况', '下', '的', '工作', '状态', '一般', '用', '红灯', '闪光', '表示', '断路器', '自动', '合闸', '用', '绿灯', '闪光', '表示', '断路器', '自动', '跳闸', '事故', '信号', '还有', '事故', '音响', '信号', '和', '光', '字牌']"
预告信号是在一次电路和设备出现不正常状态时或故障初期所发出的报警信号例如变压器过负荷或轻瓦斯动作时就发出区别于事故音响信号的另一种预告音响信号同时光字牌亮指示出故障的性质和地点,0,"['预告', '信号', '是', '在', '一次', '电路', '和', '设备', '出现', '不', '正常', '状态', '时', '或', '故障', '初期', '所', '发出', '的', '报警信号', '例如', '变压器', '过', '负荷', '或轻', '瓦斯', '动作', '时', '就', '发出', '区别', '于', '事故', '音响', '信号', '的', '另', '一种', '预告', '音响', '信号', '同时', '光', '字牌', '亮', '指示', '出', '故障', '的', '性质', '和', '地点']"
何谓断路器的跳跃和防跳,1,"['何谓', '断路器', '的', '跳跃', '和', '防', '跳']"
所谓跳跃是指断路器在手动合闸或自动装置动作使其合闸时如果操作控制开关未复归或控制开关触点自动装置触点卡住此时恰巧继电保护动作使断路器跳闸发生的多次跳一合现象,0,"['所谓', '跳跃', '是', '指', '断路器', '在', '手动', '合闸', '或', '自动装置', '动作', '使', '其', '合闸', '时', '如果', '操作控制', '开关', '未', '复归', '或', '控制', '开关', '触点', '自动装置', '触点', '卡住', '此时', '恰巧', '继电保护', '动作', '使', '断路器', '跳闸', '发生', '的', '多次', '跳', '一合', '现象']"
所谓防跳就是利用操作机构本身的机械闭锁或另在操作接线上采取措施以防止这种跳跃现象的发生,0,"['所谓', '防跳', '就是', '利用', '操作', '机构', '本身', '的', '机械', '闭锁', '或', '另', '在', '操作', '接线', '上', '采取措施', '以', '防止', '这种', '跳跃', '现象', '的', '发生']"
常用控制开关的型式和触点图表,1,"['常用', '控制', '开关', '的', '型式', '和', '触点', '图表']"
控制开关是断路器控制和信号回路的主要控制元件由运行人员直接操作发出命令脉冲使断路器合跳闸发电厂变电站通常采用是型系列自动复位控制开关,0,"['控制', '开关', '是', '断路器', '控制', '和', '信号', '回路', '的', '主要', '控制元件', '由', '运行', '人员', '直接', '操作', '发出', '命令', '脉冲', '使', '断路器', '合', '跳闸', '发电厂', '变电站', '通常', '采用', '是', '型', '系列', '自动', '复位', '控制', '开关']"
型控制开关的型式,0,"['型', '控制', '开关', '的', '型式']"
根据控制开关手柄有无内附指示灯有无定位和有无,0,"['根据', '控制', '开关', '手柄', '有无', '内附', '指示灯', '有无', '定位', '和', '有无']"
自动复位机构控制开关可具有表所示的几种型式,0,"['自动', '复位', '机构', '控制', '开关', '可', '具有', '表', '所示', '的', '几种', '型式']"
控制开关的触点图表,0,"['控制', '开关', '的', '触点', '图表']"
表明控制开关的操作手柄在不同位置时触点盒内各触点通断情况的图表称为触点图表,0,"['表明', '控制', '开关', '的', '操作', '手柄', '在', '不同', '位置', '时', '触点', '盒内', '各', '触点', '通断', '情况', '的', '图表', '称为', '触点', '图表']"
型控制开关的触点图表如表所示其中表示面板与手柄的型式表示方型面板表示手柄型式型控制开关触点图表,0,"['型', '控制', '开关', '的', '触点', '图表', '如表', '所示', '其中', '表示', '面板', '与', '手柄', '的', '型式', '表示', '方型', '面板', '表示', '手柄', '型式', '型', '控制', '开关', '触点', '图表']"
图表中表明控制开关共有六个位置即预备合闸合闸合闸后预备跳闸跳闸跳闸后其中跳闸后和合闸后为两个固定位置手柄在水平和垂直位置预备合闸,0,"['图表', '中', '表明', '控制', '开关', '共有', '六个', '位置', '即', '预备', '合闸', '合闸', '合闸', '后', '预备', '跳闸', '跳闸', '跳闸', '后', '其中', '跳闸', '后', '和', '合闸', '后', '为', '两个', '固定', '位置', '手柄', '在', '水平', '和', '垂直', '位置', '预备', '合闸']"
